num,category,news
1,7,"“종주국 자존심 지킨다” 25일 도쿄올림픽 태권도 남자 68㎏급에 출전하는 이대훈(왼쪽)이 진천선수촌에서 동료들과 훈련하는 모습... 진천=올림픽사진공동취재단 양궁과 태권도, 펜싱은 한국 도쿄올림픽 대표팀의 ..‘주력’ 종목들이다... 무예에 강한 우리 민족의 장점을 살려 오랫동안 세계 정상을 유지해온 덕분이다... 양궁은 1984년 첫 금메달 이후 2.."
2,2,도쿄올림픽 개막이 하루 앞으로 다가오자 일본 도쿄 고토구 메인프레스센터(MPC)를 왕래하는 각국 취재진의 발길도 분주하다... 코로나19 대유행으로 대부분의 경기를 무관중으로 진행하는 도쿄올림픽에서 취재진은 사실상 비체육인 신분으로는 유일하게 장내를 지키게 된다... 일본 정부는 MPC에 자위대를 배치해 삼엄한 경계를 펼치고 있다... .. .. .. ..
3,1,결국 올림픽 성화에 불이 붙었다... .. .. ..사상 초유의 대회다... 지난해 급속도로 확산된 코로나19 영향으로 역사상 처음으로 올림픽 연기가 결정됐다... 그럼에도 기어코 2020 도쿄올림픽은 23일 저녁 일본 도쿄 신주쿠 국립경기장에 마련된 성화대 점화에 성공하며 17일간의 열전을 알렸다. .. ..코로나로 인한 어려움이 큰 만큼 개막식은 인..
4,2,전 세계 공관에 파견된 외교관의 코로나 백신 접종률이 35% 수준인 것으로 23일 확인됐다... 현지 채용된 공관 행정직원의 접종률은 이보다 더 낮은 20% 수준인 것으로 파악됐다... .. .. .. ..국회 외교통일위원회 소속 국민의힘 태영호 의원은 이날 ..“전 세계 재외 공관 188곳(분관·출장소 포함)에 파견된 공무원 총 1786명 가운데 코로..
5,2,"◀ 앵커 ..▶ .. ..2020을 달고 2021년에 열리게 된 도쿄올림픽이 잠시 뒤에 개막합니다. .. ..그야말로 우여곡절 끝에 시작을 하지만 과연 무사히 마칠 수 있을지도 걱정입니다. .. ..코로나19의 한복판에서 관중도 없이, 그만큼 관심도 덜한 올림픽, 그래도 참가자 모두 최선을 다하길 기대하겠습니다. .. ..자, 그럼 현장 분위기부터 살펴.."
6,7,"호텔 전체 빌려 급식지원센터로 ..생선 제외, 육류 뉴질랜드·호주산 ..채소·과일도 후쿠시마산은 안 써 ..“선수들 ..‘맛있다’ 한마디에 힘 나” .. ..지난 20일에는 100개 남짓이었던 도시락 신청 수가 21일에는 11개 종목 220개로 늘었고 22일에는 307개, 23일에는 472개로 대폭 늘었다... 조리 스태프 16명이 쉴 새 없이 대표팀을.."
7,2,"【앵커】 .. .. ..57년 만의 하계올림픽이지만 도쿄에는 ..'전 세계인의 축제' 분위기가 전혀 감지되지 않고 있습니다... .. .. ..열도를 강타한 ..'코로나19' 확산세 때문인데 오늘도 도쿄의 신규 감염자는 1천359명에 달했습니다... .. .. ..어제 여론조사에서는 일본 국민의 55%가 ..대회 당장 중지, 22%는 ..연기를 .."
8,7,"23일 도쿄올림픽이 개막식을 열고 본격적인 스포츠 축제의 시작을 알리는 가운데, 재계에선 대회에 출전한 선수들의 사기를 북돋기 위해 ..'통 큰 후원' 약속이 이어졌다... .. .. .. .. .. .. .. .. ..━ .. 최태원, 여자핸드볼팀 ..金 1인당 1억 .. .. 최태원 SK그룹 회장이 이끄는 대한핸드볼협회는 여자 국가대표팀이 금메달.."
9,7,'2020 도쿄올림픽' 개막식 입장하는 난민팀?[사진=연합뉴스] .. .. .. .. 난민팀(EOR)이 23일 개막한 2020 도쿄올림픽에 오륜기를 들고 입장했다... 역대 올림픽 중 난민팀 출전은 2016년 리우데자네이루 올림픽 이후 두 번째다... .. .. .. ..올림픽에 출전한 난민팀은 11개국 출신 난민 29명으로 꾸려졌다... 리우올림픽 당..
10,7,2020 도쿄올림픽 남자 축구 대표팀 선수인 이동경이 뉴질랜드와의 첫 경기 후 상대 선수의 악수를 거부하는 모습으로 논란을 빚고 있다... .. .. .. ..이러한 가운데 이동경 선수가 축구협회를 통해 입장을 밝혔다... 23일 이동경은 자신의 대응이 적절하지 못했던 점을 인정하며 ..이렇게까지 문제가 될 것이라고 생각했다면 보다 이성적으로 대응했어..
11,1,‘펜트하우스3’가 오늘(23일) 결방하는 가운데 최예빈이 우아한 드레스 자태를 자랑했다. .. ..SBS 금요드라마 ..‘펜트하우스3’(연출 주동민?극본 김순옥)에서 ..‘하은별’ 역으로 한층 성숙해진 연기를 펼치고 있는 배우 최예빈의 다채로운 드레스 스타일링이 돋보이는 비하인드 스틸이 공개됐다. .. ..공개된 사진은 지난 7회 방송에서 등장한 최예빈..
12,7,"코로나19로 1년 미뤄진 2020 도쿄올림픽이 23일 결국 막을 올렸다... 해를 넘겨도 잠잠해지긴커녕 변이 등으로 확산세를 더하는 코로나19 속에 온갖 우려와 비판을 받는 중에 열린 이날 개회식은 올림픽 역사상 가장 조용한 무대였다... .. .. .. ..이날 오후 8시 일본 도쿄 신주쿠 국립경기장에는 6만 8000여명 규모의 관중석이 준비됐지만, .."
13,7,[머니투데이 이은 기자] .. ..축구선수 이동경이 2020 도쿄 올림픽 남자축구 뉴질랜드전에서 패배 후 상대 선수의 악수를 외면한 ..'비매너 논란'에 대해 입장을 밝혔다... .. .. ..김학범 감독이 이끄는 올림픽 축구대표팀은 지난 22일 일본 이바라키현 가시마 스타디움에서 열린 도쿄 올림픽 남자축구 조별리그 B조 1차전에서 뉴질랜드에 0-1로 ..
14,7,[아시아경제 박현주 기자] 2020 도쿄올림픽에 출전하는 우리나라 야구 대표팀이 첫 실전에서 상무 야구단을 완벽히 제압했다... .. .. .. ..김경문 감독이 이끄는 대표팀은 23일 서울 고척스카이돔에서 열린 상무와의 평가전에서 9-0으로 완승을 거뒀다... 지난 17일 소집 후 처음으로 치르는 평가전이었다... .. .. .. ..선발 투수로 등판..
15,2,"MBC 2020 도쿄올림픽 개회식 선수 입장에 사용된 각국의 자료 사진 중 ..부적절한 이미지가 사용됐다는 지적이 나오고 있다... .. .. .. ..23일 진행된 2020 도쿄올림픽 개회식을 MBC는 허일후, 김초롱 아나운서를 MC로 내세워 방송했다... .. .. .. ..MBC는 다른 방송사보다 10분 빠른 오후 7시 30분부터 개막식 중계를.."
16,7,2020 도쿄 올림픽부터는 남녀 개인전·단체전 금메달 4개에 혼성단체전이 추가돼 양궁에 걸린 금메달이 5개로 늘었다... 자타공인 세계 최강 태극궁사들에게는 올림픽 양궁 사상 첫 3관왕에 도전할 기회가 생긴 것이다... 그리고 그 도전 티켓을 남녀 양궁 대표팀 막내들인 김제덕(17·경북일고)과 안산(20·광주여대)이 거머쥐었다... .. .. .. ..
17,7,아침 9시부터 밤 10시까지 눈을 뗄 수 없다... 5년 만에 찾아온 태극 전사들의 금빛 도전이 온종일 이어지기 때문이다... .. .. .. .. .. 도쿄 올림픽에 출전하는 우리나라 선수단이 개막과 동시에 시원한 ..‘금메달 소나기’를 예고하고 있다... 보수적으로 잡은 대회 목표인 금메달 7개를 주말 이틀 만에 달성할지도 모른다는 장밋빛 전망도 나..
18,7,23일 일본 도쿄 신주쿠 국립경기장에서 열린 2020 도쿄올림픽 개막식... ..'통가 근육맨' 피타 타우파토푸아(태권도)가 기수로 입장하고 있다... 리우올림픽과 평창 동계올림픽에 이어 세 번째로 통가 기수로 등장했다... 연합뉴스 .. .. .. .. 이른바 ..'통가 근육맨'으로 잘 알려진 피타 타우파토푸아(38)는 대한민국 평창의 한파와 일본 도..
19,2,일본 국민들의 싸늘한 여론 속에 가까스로 막을 올린 도쿄올림픽이 개막식 입장순서를 놓고도 네티즌들의 뭇매를 맞고 있다... .. .. .. ..23일 저녁 8시 일본 국립경기장에서 열린 도쿄올림픽 개막식에서 미국대표 선수단은 하이라이트인 종반부에 입장했다... .. .. .. ..개막식 입장 순서는 근대 올림픽이 처음으로 열린 그리스가 가장 먼저 입장하..
20,7,제32회 도쿄올림픽이 오늘 오후 8시 일본 도쿄 신주쿠의 국립경기장에서 개막식을 시작으로 다음달 8일까지 17일간의 열전에 돌입한다... 코로나19 대유행으로 인해 125년 근대 올림픽 역사상 처음으로 1년 연기되는 등 우여곡절 끝에 열리는 이번 올림픽은 전체 경기 일정의 4%만 관중을 받는 사실상의 ..‘무관중 대회’로 치러진다. ..이번 대회에서는 ..
21,7,"이번이 사실상 마지막 올림픽 ..무사히 경기 치르려 조심조심 ..배구 김연경·양궁 오진혁 등 ..노장 선수들 남다른 의지 활활 .. ..‘사격 황제’ 진종오(42·사진)는 진천선수촌에서 늘 마스크를 착용하고 훈련했다... 코로나19 위험 속에 열리는 올림픽, 답답하고 불편하지만 안전하게 대회를 마치기 위한 노력이었다. .. ..2020 도쿄올림픽조직위원.."
22,7,◆ 2020 도쿄올림픽 ..◆ .. 금메달을 향한 태극궁사들의 활시위가 첫날 랭킹라운드부터 빛을 발했다... 한국 여자 양궁 대표팀이 예선전에서 1·2·3위를 싹쓸이했고 남자 대표팀도 1위 자리를 확보하며 본선에 올랐다... ..'앙팡테리블(무서운 아이)' 막내 안산(20·광주여대)과 김제덕(17·경북일고)이 1위에 올라 혼성팀 콤비로 낙점됐다... ..
23,7,23일 오전 열린 2020 도쿄올림픽 양궁 여자 랭킹라운드에서 한국 대표팀이 ..'세계 최강'임을 입증했다... .. .. .. ..여자 양궁 랭킹라운드는 이날 오전 9시부터 도쿄 유메노시마 양궁 경기장에서 치러졌다... 70m 거리에서 총 72발을 쏜다... 랭킹라운드 성적을 바탕으로 개인·단체·혼성전 시드 배정이 이뤄지므로 높은 순위가 향후 대진에 ..
24,7,도쿄올림픽 관련 코로나19 신규 확진자가 또 최다 인원을 기록했습니다. .. ..도쿄올림픽 조직위원회는 어제(22일( 하루 해외에서 온 선수 3명을 포함해 대회 참가자 19명이 코로나19에 감염됐다고 밝혔습니다. .. ..이는 코로나19 상황을 집계한 지난 1일 이후 하루 신규 확진자로는 최다입니다. .. ..올림픽 선수촌 감염자는 선수 1명과 대회 관..
25,1,유남규 삼성생명 탁구단 감독 출연 영상 인기…구독자 3만8000명 넘어서 .. .. .. .. ..삼성생명은 도쿄올림픽을 맞아 아마추어 스포츠 종목이 관심을 받으면서 스포츠 전문 유튜브 채널인 ..‘탁쳐’와 ..‘콕쳐’의 누적 조회수가 1000만 회를 넘었다고 23일 밝혔다. .. .. .. .. ..삼성생명은 자사가 후원하는 스포츠단을 활용해 다양한 ..
26,2,"도쿄 올림픽 개·폐막식 연출 담당자 고바야시 켄타로가 1998년 2인조 개그 콤비로 활동하던 시절 만들어진 콩트 영상입니다. .. ..문제가 된 건 바로 이 부분입니다. .. ..유대인 대량 참살하는 놀이를 하자. .. ..그래, 그래. .. ..유대인 학살 문제를 콩트 소재로 삼고 놀이 대상으로까지 만들어 버렸습니다. .. ..23년 전 일이라.."
27,7,장인화 도쿄올림픽 한국 선수단장은 23일 우리 선수들에게 국내산 식자재로 만든 도시락을 제공하는 것과 관련해 ..“2004년 아테네올림픽 때부터 운영해 온 프로그램”이라며 방사능 오염 문제로 결정한 게 아니라고 반박했다... 일본이 이를 강하게 비난하는 데 대해선 ..“민감하게 반응하는 것 같다”고 꼬집었다. ..장 선수단장은 도쿄올림픽 개막식인 이날 ..
28,3,"[사진=아주증시포커스] .. .. .. .. .. .. .. ..◆아주경제 주요뉴스 .. ..▷카뱅 ..'따상' 가능할까 관심집중…첫날 15%만 올라도 금융업 1위 등극 .. ..-카카오뱅크, 2550조원에 달하는 기관투자자 수요 예측으로 공모가를 최상단인 3만9000원으로 확정 .. ..-상장 시가총액은 18조5289억원 규모로 상장만으로 은행주 3위.."
